99995	61985
C(-C,-C,-N,-O)	66	98
C(-P,-P,=C)	1	0
C(-O,-O,-P,-P)	1	1
C(-Br,-C,-C,-H)	10	28
C(-Br,-C,=C)	4328	2360
C(-N,-O,=O)	1219	769
Si(-C,-C,=O)	0	6
C(-N,-N)	178	84
P(-N,-N,-S,=S)	1	2
P(-C,-C,-C,-N,-O)	0	1
P(-O)	0	5
C(-C,-C,-Cl)	153	113
S(-N,-N)	50	32
C(-C,-C,-P,-S)	1	0
C(-S,=C)	3725	2182
B(-C,-O)	0	3
C(-C,-F,=O)	0	6
C(-C,-Cl,-H,-H)	0	2
C(-C,-H,-O,-S)	6	20
C(-C,-C,-O,-S)	9	14
C(-C,-C,-N,-N)	50	76
P(-N)	4	4
C(-C,-O,=O)	11430	7962
N(-N,-P)	2	1
C(-C,-H,-N,-O)	59	158
C(-N,-O)	115	84
Si(-C,-C,=N)	0	1
Cl(-O)	0	2
P(-O,-O,-S,=O)	1	4
S(-O,-S,=C)	1	2
N(-C,-Si)	2	6
N(-C,-P,-S)	1	2
O(-H,-S)	0	1
C(-B,-S,=C)	1	3
N(-N,-O)	3	3
C(-C,-O,=P)	0	2
S(-C,-C,=S)	3	0
C(#C,-C)	749	558
C(-C,-H,-N,-P)	1	8
C(-B,-C,-C,-C)	0	1
N(-Cl,=C)	1	1
C(-C,-N,-O,-O)	7	11
C(-N,-P)	5	8
N(-C,-O,-O)	2	3
N(-B,=C)	1	1
S(-N,-P)	1	0
S(-F,-N,=O,=O)	0	2
C(-C,-P,=S)	0	1
Cl(-P)	4	10
P(-N,-N,-O)	1	1
O(-P)	57	190
C(-Cl,-N,=S)	0	1
C(-Br,-Br,-C,-S)	1	2
P(-C,-C,-C,-Cl,-N)	0	1
C(-Br,-Br,=C)	3	3
N(-P,-S)	1	0
S(-Cl,-S,=S)	0	1
N(-C,-F,-F)	0	1
C(-C,=P)	0	4
P(-C,-O,=O)	0	1
S(=C,=O,=O)	0	3
O(-C,-Si)	119	332
O(-O)	13	15
N(=C,=C)	0	2
S(-C,-S)	44	31
C(-H,-H,-H,-O)	0	3
C(-C,=O)	549	350
S(-N,-N,=O,=O)	197	142
C(-Cl,-F,-F,-O)	1	3
C(-C,-N,=N)	10335	5784
C(-S,-S,=C)	266	180
O(-N)	380	327
C(-C,-N,-P,-P)	0	1
P(-F,-F,-N)	0	1
C(-H,-H,-H,-N)	0	5
C(-C,-H,-N,-S)	38	53
S(=C)	463	321
C(-N,-Si,=N)	1	0
C(-N,=C)	12331	6739
C(-C,-O,=S)	9	7
P(-O,-O,-O)	6	7
C(-C,=N)	7477	4461
C(-C,-Cl,-Cl,-S)	1	1
C(-F,-F,=S)	1	0
C(-F,-F,-F,-S)	84	63
C(-C,-N,=O)	17507	11197
Cl(-S)	65	64
B(-O,-O)	0	2
B(-C,-C,-N)	0	2
C(#N,-N)	29	30
C(-O,-O,=S)	1	0
C(-F,-H,-H,-O)	0	1
C(-C,-S,-S,-S)	1	0
C(-Cl,-N,=O)	4	3
Br(-C)	5169	2804
C(#N,-O)	2	1
C(-C,-H,=N)	602	393
C(-Br,-Br,-C,-O)	1	0
S(-C,-N)	338	171
C(-O,-O,=N)	799	569
S(-C,-C,=O,=O)	1330	1073
N(-O)	24	11
C(-C,-N,-Si)	3	6
Si(-C,-N)	0	2
C(-Si,=C)	4	15
C(=N,=O)	46	27
C(-Cl,-S,=N)	19	10
C(-C,-F,-F,-F)	2890	1831
O(-S)	100	181
S(-C,-Cl,=N,=O)	1	0
S(-C,-N,=C)	1	1
S(-C,-O)	8	10
Si(-C,-O)	0	3
N(-P)	0	2
C(-C,=S)	7	10
C(-C,-C,-Cl,-F)	1	1
S(-N,-O,=C,=O)	0	1
F(-C)	11803	7741
S(-C,-P)	8	10
B(-N,-O)	0	2
C(-F,-F,-F,-O)	293	187
P(-C,-O,-S,=S)	1	0
C(-Br,-C,=O)	1	0
S(-C,-Cl,=O,=O)	61	55
C(-C,-N,=S)	94	45
F(-B)	2	3
C(-C,-F,-H,-O)	0	2
C(-B,-C,-C)	1	6
P(-F,-O,-O,=O)	0	1
N(-Br,=C)	1	1
C(-B,-C,-H,-N)	2	7
C(-N,-N,-S)	5	5
N(-C,-Si,-Si)	1	5
C(-C,-H,-H,-S)	0	1
C(-Cl,-N,=N)	160	89
N(-N)	537	315
C(-O,-O,=O)	104	90
C(-Br,-Br,-Br,-S)	0	2
P(-C,-C)	5	11
C(-N,-N,=Si)	0	1
C(-I,-O,=C)	1	4
C(-N,-S,=C)	1144	706
C(-Br,-C,=N)	67	24
C(-C,-C,-C,-Cl)	12	23
C(-F,-S,=C)	10	6
N(-O,-O,-O)	2	3
C(=N,=N)	2	1
Si(-C,-O,-Si,-Si)	0	2
C(-C,-H,-O,-Si)	0	3
C(-C,-F,-F,-I)	0	2
C(#N,-S)	5	4
C(-N,-S,=S)	179	133
C(=S)	5	1
C(-S,=O)	1	0
N(-N,=C,=C)	0	1
N(-S)	218	232
C(-C,-C,-H,-I)	0	6
C(-C,-I,=O)	2	0
C(-C,-C,-I,-O)	0	1
C(-C,-Cl,-H,-S)	0	1
C(-C,-O,-O,-Si)	0	1
C(-Cl,-O,=O)	3	2
C(-N,-O,=B)	0	2
S(-C,-C,=N,=O)	5	9
I(-C,-O,-O)	0	1
Si(-C,-C,=C)	0	1
Br(-N)	6	2
P(-C,-C,-Si)	0	1
S(-C,-Cl,=O)	0	1
C(-N,-Si,=C)	0	4
O(-Cl,-S)	0	1
C(-C,-C,-I,-N)	0	3
P(-C,-Cl,-Cl,-N,-N)	0	1
N(-C,-H,-H)	0	2
C(-N,-O,=C)	1012	691
B(-C,=B)	0	1
O(-Si)	7	14
P(-C,-C,-N,=O)	4	6
C(-N,-P,=C)	0	3
C(-Br,-O,=C)	73	37
C(-C,-C,-S)	1100	597
C(-O,-O,-Si)	0	1
P(-C,-C,-O,=S)	0	1
C(=N,=S)	13	8
N(-C,-S)	2261	1398
B(=O)	0	3
Si(-Br,-C,-C,-C)	1	0
B(-C,=C)	0	1
Si(-C,-C,-O,-O)	12	31
C(-S,-Si,=C)	1	0
C(-I,-S,=N)	0	1
C(-C,-H,-H,-O)	1	11
P(-C,-C,-N,=N)	1	0
C(-S,=N)	240	122
P(-N,-N,-N,=S)	0	2
P(-C,-O)	0	1
C(-P,=C)	2	10
Si(-C,-O,-O,-O)	16	33
C(-Br,-C,-I,-O)	0	1
C(-C,-F,=C)	7896	5252
C(-C,-I,=N)	5	12
C(-Cl,-O,=N)	4	3
C(-P,-S,=C)	1	0
C(#C,-Si)	8	23
B(-C,-C,-O)	7	2
S(-N,-N,=N,=O)	1	0
P(-N,-N,-N,=N)	1	3
C(-C,-H,-H,-N)	0	7
C(-N,-S,=O)	168	128
S(-C,-O,=O)	1	20
N(#C)	3146	2090
P(-C,-O,-O,=O)	64	120
S(-C,-O,=O,=O)	193	239
C(-N,-S,=N)	3844	2637
